"","pays2","dist"
"1","Afghanistan",3379.04795238629
"2","Albania",1495.87615617119
"3","Algeria",2323.88390804101
"4","American Samoa",14964.2450666566
"5","Andorra",2039.75747395459
"6","Angola",6747.92975949989
"7","Anguilla",7966.28995289607
"8","Antarctica",13663.5355885632
"9","Antigua",7992.24782927886
"10","Argentina",11457.0777462121
"11","Armenia",2001.06744844253
"12","Aruba",8910.31397534198
"13","Ascension Island",7800.2242819626
"14","Australia",11477.2892379176
"15","Austria",864.935649128478
"16","Azerbaijan",2048.58615091244
"17","Azores",3957.58574357649
"18","Bahamas",8043.33184846418
"19","Bahrain",3767.95793577114
"20","Bangladesh",5762.56221225391
"21","Barbados",8206.55189471791
"22","Antigua and Barbuda",7944.65168621769
"23","Belarus",0
"24","Belgium",1144.58911921284
"25","Belize",9423.45622345376
"26","Benin",5095.91226475794
"27","Bermuda",6813.79357058369
"28","Bhutan",5700.13771204662
"29","Bolivia",10676.0056741293
"30","Bonaire",8835.35030780997
"31","Bosnia and Herzegovina",1231.85415842296
"32","Botswana",8140.0481793147
"33","Brazil",8504.81921403209
"34","Brunei",9329.02793571558
"35","Bulgaria",1279.61850319253
"36","Burkina Faso",4899.18247481952
"37","Burundi",6436.75049866755
"38","Cambodia",7764.0680136827
"39","Cameroon",4805.98906765793
"40","Canada",3599.19339162325
"41","Canary Islands",4031.58263538476
"42","Cabo Verde",5704.8935265745
"43","Cayman Islands",8826.11187770546
"44","Central African Republic",4968.42443497563
"45","Chad",3646.22833861861
"46","Chagos Archipelago",8108.49276991741
"47","Chile",11638.1622545944
"48","China",3761.02034193988
"49","Christmas Island",10199.692924611
"50","Cocos Islands",9844.11289347652
"51","Colombia",9010.06710804946
"52","Comoros",7586.86120790264
"53","Cook Islands",15890.0389857101
"54","Costa Rica",9875.66739852333
"55","Croatia",1109.14408117687
"56","Cuba",8452.84656298788
"57","Curacao",8876.96377762748
"58","Cyprus",2300.30986867069
"59","Czechia",678.982837446769
"60","Democratic Republic of the Congo",5584.97339253522
"61","Denmark",386.534798702594
"62","Djibouti",4965.99314801534
"63","Dominica",8107.43195712817
"64","Dominican Republic",8252.94706352916
"65","Ecuador",10403.8593760457
"66","Egypt",2670.37140273038
"67","El Salvador",9832.51246970296
"68","Equatorial Guinea",5901.0799284076
"69","Eritrea",4296.9532326164
"70","Estonia",0
"71","Ethiopia",4628.67053746589
"72","Falkland Islands",13938.9285327558
"73","Faroe Islands",1642.91589310065
"74","Fiji",14384.7527919099
"75","Finland",221.416067676007
"76","France",1176.25061355947
"77","French Guiana",8514.48971996073
"78","French Polynesia",14367.1592211411
"79","French Southern and Antarctic Lands",11542.6143480476
"80","Gabon",6008.04728973041
"81","Gambia",5588.51408740364
"82","Georgia",1628.51553282308
"83","Germany",496.56707996883
"84","Ghana",5312.64601638131
"85","Greece",1548.64366751596
"86","Greenland",2474.94101416253
"87","Grenada",8430.86581662856
"88","Saint Vincent and the Grenadines",8330.36627268782
"89","Guadeloupe",8032.60465687138
"90","Guam",10276.0933211791
"91","Guatemala",9532.74865106919
"92","Guernsey",1738.30203050848
"93","Guinea",5491.64570029639
"94","Guinea-Bissau",5664.89583552457
"95","Guyana",8660.27804599529
"96","Haiti",8364.19598624504
"97","Heard Island",12763.2878211117
"98","Honduras",9451.10482524982
"99","Hungary",836.712642801888
"100","Iceland",2032.12243425228
"101","India",4194.92653095135
"102","Indonesia",8056.60047302897
"103","Iran (Islamic Republic of)",2178.42270168134
"104","Iraq",2344.39648008029
"105","Ireland",1737.97867331355
"106","Isle of Man",1614.83180871776
"107","Israel",2566.89913319649
"108","Italy",1171.76083002112
"109","Cote d'Ivoire",5541.06516263219
"110","Jamaica",8777.51003060151
"111","Japan",7046.08750955359
"112","Jersey",1725.44668475414
"113","Jordan",2638.22396123919
"114","Kazakhstan",1431.65899537723
"115","Kenya",5617.67751776482
"116","Kiribati",12606.0909199573
"117","Kosovo, Republic of",1424.76042825997
"118","Kuwait",3254.42838636272
"119","Kyrgyzstan",3389.57425500627
"120","Lao People's Democratic Republic",6943.85844125344
"121","Lebanon",2439.26239640648
"122","Lesotho",9336.45638610708
"123","Liberia",5920.80673320468
"124","Libya",2550.97955743209
"125","Liechtenstein",1258.93228202183
"126","Lithuania",0
"127","Luxembourg",1194.66831740972
"128","The former Yugoslav Republic of Macedonia",1513.02563853298
"129","Madagascar",7787.84049986735
"130","Madeira Islands",3885.26157821884
"131","Malawi",7234.8418747625
"132","Malaysia",8274.38662392713
"133","Maldives",7012.26330460486
"134","Mali",4036.53904289774
"135","Malta",2280.88443291376
"136","Marshall Islands",11541.2259911433
"137","Martinique",8158.42508429602
"138","Mauritania",3980.59343405394
"139","Mauritius",8862.47649321243
"140","Mayotte",7759.91539989167
"141","Mexico",8974.04796423464
"142","Micronesia",10302.4401780434
"143","Republic of Moldova",802.661961955364
"144","Monaco",1675.6263651246
"145","Mongolia",3968.16206880133
"146","Montenegro",1400.59849441743
"147","Montserrat",8048.79816631569
"148","Morocco",2924.04181908376
"149","Mozambique",7440.60191643671
"150","Myanmar",6160.35817542246
"151","Namibia",8108.03427344525
"152","Nauru",12741.399273179
"153","Nepal",4994.15631468529
"154","Netherlands",943.778717301618
"155","Nevis",8037.75638744667
"156","New Caledonia",14247.7978070711
"157","New Zealand",14305.4407290317
"158","Nicaragua",9465.8008076128
"159","Niger",3690.18360997586
"160","Nigeria",4744.00443158372
"161","Niue",15492.5609811822
"162","Norfolk Island",15605.2039301037
"163","Northern Mariana Islands",9814.41341020879
"164","North Korea",6708.30509758625
"165","Norway",603.108826344718
"166","Oman",4008.27554253767
"167","Pakistan",3884.25685722946
"168","Palau",10282.5294256833
"169","Palestine",2652.09766152103
"170","Panama",9705.700195997
"171","Papua New Guinea",11622.504789198
"172","Paraguay",11166.3227379192
"173","Peru",10320.105159496
"174","Philippines",8317.33817143548
"175","Pitcairn Islands",15611.8250125434
"176","Poland",186.768789802947
"177","Portugal",2532.99714022008
"178","Puerto Rico",8116.82018107742
"179","Qatar",3807.17943017921
"180","Republic of Congo",5816.67068888353
"181","Reunion",8893.26447415361
"182","Romania",823.869936793682
"183","Russian Federation",0
"184","Rwanda",6298.70146761599
"185","Saba",8037.64273728773
"186","Saint Barthelemy",7987.48554030178
"187","Saint Helena",8359.10411426646
"188","Saint Kitts and Nevis",8032.47541102299
"189","Saint Lucia",8217.79496520475
"190","Saint Martin",7982.61623187066
"191","Saint Pierre and Miquelon",5132.87100047961
"192","Saint Vincent",8298.71680222936
"193","Samoa",14831.6325973333
"194","San Marino",1473.90217308561
"195","Sao Tome and Principe",6151.65322616458
"196","Saudi Arabia",2780.86600615686
"197","Senegal",5299.66771884458
"198","Serbia",1105.04785742312
"199","Seychelles",7160.63853520552
"200","Siachen Glacier",4280.58724699334
"201","Sierra Leone",5830.41150474002
"202","Singapore",8983.25260993313
"203","Sint Eustatius",8033.27037998493
"204","Sint Maarten",7985.91903494511
"205","Slovakia",728.286953154049
"206","Slovenia",1076.45590109169
"207","Solomon Islands",12852.7842203549
"208","Somalia",5099.6322840253
"209","South Africa",8626.45232801946
"210","South Georgia",13295.255660046
"211","Republic of Korea",7029.93646112175
"212","South Sandwich Islands",13372.6755027873
"213","South Sudan",4849.10593020643
"214","Spain",1984.59979420445
"215","Sri Lanka",6809.04479954713
"216","Sudan",3736.65306597899
"217","Suriname",8550.14879174593
"218","Swaziland",9031.39924976759
"219","Sweden",145.70961668765
"220","Switzerland",1235.88801285845
"221","Syrian Arab Republic",2220.00158205825
"222","Taiwan",7778.22089405561
"223","Tajikistan",3408.71678892071
"224","United Republic of Tanzania",6293.27044974676
"225","Thailand",6958.84052681752
"226","Timor-Leste",11214.4156243927
"227","Tobago",8445.54546072532
"228","Togo",5297.44394974313
"229","Tonga",15333.7725874303
"230","Trinidad",8514.04384435479
"231","Tunisia",2241.03258850071
"232","Turkey",1510.30104615285
"233","Turkmenistan",2366.56143438644
"234","Turks and Caicos Islands",8165.02280336725
"235","Uganda",5743.04857192294
"236","United Kingdom of Great Britain and Northern Ireland",1306.75318187066
"237","Ukraine",420.05983494657
"238","United Arab Emirates",4005.45168394462
"239","Uruguay",12027.3331647257
"240","United States of America",5638.98382011492
"241","Uzbekistan",2304.81993006207
"242","Vanuatu",14101.934609
"243","Vatican",1693.3681508095
"244","Venezuela (Bolivarian Republic of)",8582.69744371545
"245","Viet Nam",6966.83285977486
"246","British Virgin Islands",8003.04535536609
"247","United States Virgin Islands",8060.59121206701
"248","Wallis and Futuna",14700.6380527765
"249","Western Sahara",3944.50085669558
"250","Yemen",4455.21413703779
"251","Zambia",7088.10472866167
"252","Zimbabwe",7907.3628013071
"253","Gibraltar",3000
"254","China, Hong Kong Special Administrative Region",7000
