Valsts;Parafēta;Parakstīta;Spēkā;Piemērojama
Albānija;06.07.07.;21.02.08.;10.12.08.;01.01.09.
Amerikas Savienotās Valstis;06.06.97.;15.01.98.;30.12.99.;01.01.00.
Armēnija;03.10.97.;15.03.00.;26.02.01.;01.01.02.
Apvienotie Arābu Emirāti;20.02.09.;11.03.12.;11.06.13.;01.01.14.
Austrija;10.11.03.;14.12.05.;16.05.07.;01.01.08.
Azerbaidžāna;13.09.02.;03.10.05.;19.04.06.;01.01.07.
Baltkrievija;27.01.95.;07.09.95.;31.10.96.;01.01.97.
Beļģija;15.07.98.;21.04.99.;07.05.03.;01.01.04.
Bulgārija;30.05.03.;04.12.03.;18.08.04.;01.01.05.
Čehija ;03.03.94.;25.10.94.;22.05.95.;01.01.96.
Dānija;14.01.93.;10.12.93.;27.12.93.;01.01.94.
Dienvidkoreja;10.12.99.;15.06.08.;26.12.09.;01.01.10.
Francija;13.04.95.;14.04.97.;01.05.01.;01.01.02.
Grieķija;07.02.02.;27.03.02.;07.03.05.;01.01.06.
Gruzija;25.05.01.;13.10.04.;24.03.05.;01.01.06.
– protokols, ar ko groza Latvijas – Gruzijas 13.10.04. nodokļu konvenciju;03.03.11.;29.05.12.;27.11.12.;01.01.13.
Honkonga;21.11.13. ;13.04.16. ;24.11.17.;01.01.18.
Horvātija;08.10.99.;19.05.00.;27.02.01.;01.01.02.
Igaunija;20.09.01.;11.02.02.;21.11.02.;01.01.03.
Indija;15.03.12.;18.09.12.;28.12.13.;01.01.14.
Īrija;16.05.97.;13.11.97.;18.12.98.;01.01.99.
Itālija;21.12.95.;21.05.97.;16.06.08.;01.01.09.
Islande;14.01.93.;19.10.94.;27.12.95.;01.01.96.
Izraēla;18.01.06.;20.02.06.;13.07.06.;01.01.07.
Japāna;23.06.16.;18.01.17.;05.07.17. ;01.01.18.
Kanāda;07.07.94.;26.04.95.;12.12.95.;01.01.96.
Katara;24.01.13.;26.09.14.;01.06.15.;01.01.16.
Kazahstāna;19.12.96.;06.09.01.;02.12.02.;01.01.03.
Kipra;13.12.12.;24.05.16.;07.10.16;01.01.17
Kirgīzija;04.07.03.;07.12.06.;04.03.08.;01.01.09.
Krievija;14.05.08.;20.12.10.;06.11.12.;01.01.13.
Kuveita;28.01.09.;09.11.09.;25.04.13.;01.01.14.
–Ķīnas Tautas Republika;19.04.96.;07.06.96.;27.01.97.;01.01.98.
– protokols, ar ko groza Latvijas-Ķīnas 07.06.96. nodokļu konvenciju;04.07.11.;24.08.11.;19.05.12.;01.01.13.
Lielbritānija ;22.03.95.;08.05.96.;30.12.96.;01.01.97.
Lietuva;27.11.92.;17.12.93.;30.12.94.;01.01.95.
Luksemburga;25.04.02.;14.06.04.;14.04.06.;01.01.07.
Maķedonija;17.03.06.;08.12.06.;25.04.07.;01.01.08.
Malta ;21.01.00.;22.05.00.;24.10.00.;01.01.01.
Maroka;07.09.07.;24.07.08.;25.09.12.;01.01.13.
Meksika;03.06.11.;20.04.12.;02.03.13.;01.01.14.
Melnkalne;01.07.05.;22.11.05.;19.05.06.;01.01.07.
Moldova;12.07.96.;25.02.98.;24.06.98.;01.01.99.
Nīderlande;01.10.93.;14.03.94.;29.01.95.;01.01.96.
Norvēģija;14.01.93.;19.07.93.;30.12.93.;01.01.94.
Polija;01.07.93.;17.11.93.;30.11.94.;01.01.95.
Portugāle;02.10.00.;19.06.01.;07.03.03.;01.01.04.
Rumānija;06.02.98.;25.03.02.;28.11.02.;01.01.03.
Serbija;01.07.05.;22.11.05.;19.05.06.;01.01.07.
Singapūra;02.10.98.;06.10.99.;18.02.00.;01.01.01.
Singapūra - Otrais protokols, ar ko groza Latvijas - Singapūras 06.10.99. parakstīto nodokļu konvenciju;11.03.16.;20.04.17.;03.08.18.;01.01.19.
Slovākija;15.05.98.;11.03.99.;12.06.00.;01.01.01.
Slovēnija ;26.11.99.;17.04.02.;18.11.02.;01.01.03.
Spānija;20.07.01.;04.09.03.;14.12.04.;01.01.05.
Somija ;14.01.93.;23.03.93.;30.12.93.;01.01.94.
Šveice;30.03.01.;31.01.02.;18.12.02.;01.01.03.
Šveice – protokols, ar ko groza Latvijas-Šveices 31.01.02. nodokļu konvenciju;03.12.15.;02.11.16.;03.09.18.;01.01.19.
Turcija;09.01.98.;03.06.99.;23.12.03.;01.01.04.
Tadžikistāna;02.12.07.;09.02.09.;29.10.09.;01.01.10.
Turkmenistāna;14.06.12.;11.09.12.;04.12.12.;01.01.13.
Ukraina;02.11.95.;21.11.95.;01.01.96.;01.01.97.
Ungārija;25.02.02.;14.05.04.;22.12.04.;01.01.05.
Uzbekistāna;08.06.98.;03.07.98.;23.10.98.;01.01.99.
Vācijas Federatīvā Republika;07.04.95.;21.02.97.;26.09.98.;01.01.96.
Vjetnama;09.10.15.;19.10.17.;06.08.18.;01.01.19.
Zviedrija;13.01.93.;05.04.93.;30.12.93.;01.01.94.
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;